Course Number,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
ANTH 23920,"Video games commonly feature religious ideas, imagery, emotions, and practices. In this course, we will take a hands-on, experimental approach to the study of religion in video games. We will play various games individually and in groups, and reflect on the design and gameplay in conversation with readings in theory.",Winter ,RLST 28990 ,,Alireza Doostdar
ANTH 24001,"This quarter examines the making of the Atlantic world in the aftermath of European colonial expansion. Focusing on the Caribbean, North and South America, and western Africa, we cover the dynamics of invasion, representation of otherness, enslavement, colonial economies and societies, as well as resistance and revolution.",Autumn Spring Winter ,"RDIN 24001, SOSC 24001, HIST 18301, CRES 24001 ",,Staff
ANTH 24002,This quarter covers the histories of modern European and Japanese colonialism in South and East Asia and the Pacific. Themes examined include the logics and dynamics of imperial expansion and rule; Orientalist discourses; uprisings and anti-imperial movements; the rise of nationalisms; and paths to decolonization in the region.,Autumn Spring Winter ,"SALC 24002, CRES 24002, RDIN 24002, SOSC 24002, HIST 18302 ",,Staff
ANTH 24003,"The third quarter considers the processes and consequences of decolonization both in newly independent nations and former colonial powers. Through an engagement with postcolonial studies, we explore the problematics of freedom and sovereignty; anti-colonial movements, thinking and struggles; nation-making and nationalism; and the enduring legacies of colonialism.",Autumn Spring Winter ,"RDIN 24003, CRES 24003, HIST 18303, SALC 20702, SOSC 24003 ",,Staff
ANTH 24101,"The first quarter focuses on Islam in South Asia, Hindu-Muslim interaction,Mughal political and literary traditions, and South Asia's early encounters withEurope.",Winter ,"SOSC 23000, MDVL 20100, HIST 10800, SALC 30100, SALC 20100 ",,Muzaffar Alam
ANTH 24102,"The second quarter analyzes the colonial period (i.e., reform movements, the rise of nationalism, communalism, caste, and other identity movements) up to the independence and partition of India.",Spring ,"HIST 10900, SALC 20200, SOSC 23100 ","SALC 20100,ANTH 24101,HIST 10800,SASC 20000,SOSC 23000 ",Dipesh Chakrabarty
ANTH 24110,"This course considers nationbuilding as an ongoing and recurring process in the Middle East, realigning identities and communities according to the political concerns of the time. In particular, we will examine how Arabs and Others have figured in the political imagination of both Egypt and Israel-Palestine. When can Egyptians, Palestinians, and Israelis consider themselves ""Arab""--and when not? What are the stakes of naming Arab-ness or claiming it for oneself? To answer these questions, this course will include readings and popular films on Arab nationalism and minorities in Egypt, the question of Jewish versus Israeli nationalism, Arab (or Mizrahi) Jews in Israel, and the relationship of Palestinian nationalism to the borders that have been drawn within the historic land of Palestine.",Autumn ,"NEHC 25209, GLST 25209 ",,Callie Maidhof
ANTH 24125,"The international human rights regime took form in the shadow of the atom bomb and WWII, a historical juncture, which for many marked the limits of techno-scientific rationality and progress. Utopian narratives of inevitable, technologically-driven social and economic progress nonetheless remain a cornerstone of American political and cultural imaginaries. In this course, we will draw on anthropology, law, and allied disciplines to explore the ambiguous intersections of technological innovation and human rights. Through a series of case studies, the course will consider how new technologies and their allied knowledge practices call into question the foundational categories of human rights law, complicating understandings of the individual, person hood, family, and life. The course will further examine how emerging developments in biotechnology, information technology, robotics, and AI variously enhance and undermine the substantive protections of human rights, including the rights to health, privacy, freedom of expression, security, and indigenous knowledge. Finally, we will consider how human rights norms and institutions can be mobilized to inform and constrain the design and application of potentially threatening new technologies.",Autumn ,"HMRT 24125, HMRT 34125 ",,"Lake Polan, Pozen Center for Human Rights Social Science Teaching Fellow"
ANTH 24314,"This course examines recent (20th- and 21st-century) retrievals of the body to understand ""meaning."" We will analyze varying construals of nature, materiality, matter, emotion, and thought. Readings will therefore be multidisciplinary, including selections from philosophy, sociolinguistics, anthropology, and religious studies. More specifically, we will examine the relationship between meaning and embodiment by way of the following: modern philosophies of the subject; analytic philosophies of language; deconstruction and the historicization of the body; feminist theories of discourse; new materialist conceptions of matter; new animist conceptions of the subject.",Winter ,"GNSE 26116, RLST 26116 ",,Lisa Landoe Hedrick
ANTH 24316,"Since Freud's seminal investigation into the nature of the mind, psychoanalytic thinking has offered a unique approach to unconscious, relational, and meaningful dimensions of human experience. Despite assaults on the field from numerous quarters, psychoanalytic thinking remains central to the work of practitioners across an array of disciplines. After an introduction to key psychoanalytic concepts including the unconscious, repression, and transference, we will investigate some of the ways in which these ideas are mobilized within clinical practice, neuroscience, anthropology, education, philosophy, literary studies, and the visual arts through a series of lectures presented by specialists from these fields. Along the way, we will gain an appreciation for some of the ways in which psychoanalytic perspectives continue to inspire a variety of current scientific and humanistic projects.",Autumn ,BPRO 28400 ,PQ: Third or fourth-year standing. ,"A. Beal, Staff"
ANTH 24320,"There is a substantial portion of the psychological nature of human beings that is neither homogeneous nor fixed across time and space. At the heart of the discipline of cultural psychology is the tenet of psychological pluralism, which states that the study of ""normal"" psychology is the study of multiple psychologies and not just the study of a single or uniform fundamental psychology for all peoples of the world. Research findings in cultural psychology thus raise provocative questions about the integrity and value of alternative forms of subjectivity across cultural groups. In this course we analyze the concept of ""culture"" and examine ethnic and cross-cultural variations in mental functioning with special attention to the cultural psychology of emotions, self, moral judgment, categorization, and reasoning.",Winter ,"GNSE 31000, KNOW 31000, GNSE 21001, AMER 33000, PSYC 33000, CRES 21100, CHDV 21000, CHDV 31000, ANTH 35110, PSYC 23000 ",Undergraduates must be in third or fourth year. ,R. Shweder
ANTH 24321,"This course traces the development of the field of psychological anthropology and critically reviews the various paradigms adopted by psychological anthropologists. In our discussions, we will draw examples from different cultural contexts to critically examine the relationship between culture and psychological functioning. By the end of the quarter, you will develop an insightful understanding of the cultural sources of the self, mind, behavior, and mental health as well as a substantial knowledge of the field of psychological anthropology.",Spring ,"HLTH 27250, CHDV 37250, CHDV 27250, HIPS 27250 ",,S. Numanbayraktaroglu
ANTH 24501,"This seminar will explore the many ways that language influences and is influenced by the environment. Appropriate for those interested in the socio-cultural foundations of language and language-use, infrastructural dimensions of communication and interaction, and existence as semiotic.",Spring ,"CHDV 24500, LING 44500, ANTH 44501, CHDV 44500 ",,T. Edwards
ANTH 24510,"This course uses anthropological reflections on ""objects and others"" to discuss questions of collection, classification, and curation in museum spaces. Anthropological engagements with material culture define early moments in the discipline's history and frame debates about typology and the observation of difference, as well as documentation and display. Through a series of readings, museum visits, and object-centered exercises, this undergraduate seminar will foreground questions of heritage and memory, ethical concerns about the ownership of collections and their display, and the publics that museums seek to address and be accountable to.",Spring ,CHST 24510 ,,Mannat Johal
ANTH 24702,"The state is like a gravitational force that holds people in relation to itself, tugging and turning each person to different degrees. Citizenship is the mediation of that relationship. In this course, we examine different dimensions of citizenship across the life course, considering the ways people are formed into certain kinds of subjects. We ask: how and why are intimate life events of interest not only to those involved, but also to governing authorities? From the governance of conception and birth, to the (non)conferral of legal identities, the state manages legitimacy through documents like birth certificates, whose contents or absence can shape a person's entire life trajectory. In childhood, schools work to transform children into certain kinds of future citizens. From legal adulthood's gradual accrual of rights -- to vote, to have sex, to drink, to stand trial -- to old age and long after death, citizenship extends beyond the lifecourse. Over the course of the quarter, we investigate the ways people negotiate attempts to transform them into citizens, examining in particular how citizenship is mediated in relation to religion, sexuality, migration, disability, marriage, pregnancy, old age, and death.",TBD ,"CHDV 24702, GNSE 24704 ",,Kathryn Takabvirwa
ANTH 24711,"In the wake of the January 6, 2021, storming of the United States Capitol, the QAnon phenomenon has received sustained global attention as news and government agencies scramble to understand this online movement's role in the attack, the threat it continues to pose, and why it is that one out of every six Americans believes that former President Trump is secretly battling an elite group of politicians, media moguls, and academics who are deeply involved in child sex trafficking and satanic sacrifice. This course will investigate the phenomenon of QAnon through the lens of New Religious Movements (NRMs)--seeking to understand the complex interplay of factors that incites people to become immersed in these groups. Using examples from American New Religious Movements of the 20th century such as Scientology, the Rajneesh movement, and Jonestown, we will delve into the history of these groups in order to examine the motivations that drive individuals into these ""fringe"" religious movements. In the process, we will interrogate the usefulness of such labels as ""religion"" and ""cult,"" and ultimately hope to better understand how power, race, gender, and practices of dissimulation play active roles in both these new religious movements and within QAnon.",Autumn ,"SOCI 20540, RLST 28991, AMER 28991 ",,Marielle Harrison
ANTH 24730,"Are there ""proper"" or ""improper"" practices of religion? Is it at best a matter of private belief, to be kept separate from or protected by the state? Or is it something that at times requires the state's intervention? Does religion represent the last vestiges of the premodern world, or is it something that is integral to modern life? To answer these questions, we will call on anthropologists and other social scientists and theorists to understand, first, what is ""religion,"" and then what is, can be, or should be its relationship to gender, the nation, and the modern state in various historical and geographical locations, with particular attention to the Middle East and South Asia.",Not offered 2022-2023 ,"GLST 25630, RLST 26630 ",,Callie Maidhof
ANTH 25208,"This course presents a survey of anthropological theories of gifts and commodities and how they have been used to explain exchanges involving the human body. We will consider various forms of labor, including sex work and paid surrogacy, exchanges enabled by modern biotechnologies, such as organ and tissue donation, as well as other contexts where the body is objectified and fragmented, such as in the discovery and marketing of genetic materials and processes.",Spring ,"AASR 37570, GNSE 27570, RLST 27570 ",,Elham Mireshghi
ANTH 25211,"This course examines the fraught yet generative relation between various movements of feminism and the discipline of anthropology.  Both feminism(s) and anthropology emerged in the 19th century as fields invested in thinking ""the human"" through questions of alterity or Otherness. As such, feminist and anthropological inquiries often take up shared objects of analysis--including nature/culture, kinship, the body, sexuality, exchange, value and power-even as they differ in their political and scholarly orientations through the last century and a half.  Tracking the emergence of feminisms and anthropology as distinct fields of academic discourse on the one hand and political intervention on the Other, we will pursue the following lines of inquiry: 1) a genealogical approach to key concepts and problem-spaces forged at the intersection of these two fields 2) critical analysis of the relation of feminist and postcolonial social movements to the professionalizing fields of knowledge production (including Marxist inspired writing on women and economy, Third World feminism and intersectionality, and feminist critiques of science studies)  and 3) a reflexive contemporary examination of the way these two strands of thought have come together in the subfield of feminist anthropology and the continual frictions and resonances of feminist and anthropological approaches in academic settings and in the larger world (e.g., #MeToo, sex positive activism, queer politics, feminist economics).",TBD ,"ANTH 32910, GNSE 32103, CHDV 32103, GNSE 22103, CHDV 22103 ",3rd and 4th year undergraduates only. Graduate students must have consent of one of the instructors. ,"Chu, Julie Cole, Jennifer"
ANTH 25214,"This course introduces students to the role of the material world in the production and reproduction of ideologies of race, gender, and their intersections. Objects around us are imbued with meaning through their design, construction, use, and disuse. Architecture, art, photography, clothing, quilts, toys, food, and even the body have all been used to define groups of people. Combining secondary literature, theory, documentary evidence, and material culture, this course guides students as they ask questions about how ideologies of race and gender are produced, how they are both historically specific and constantly in flux, and how human interaction with the material world creates, challenges, and changes their construction. The primary course objectives are to (1) provide students with an introduction to material culture as a theory and methodology and (2) teach them how to apply it to research on ideologies of gender and race in history.",Winter ,"HIST 27414, ARTH 27530, GNSE 27530, CRES 27530 ",,
ANTH 25215,"While the modern human rights regime developed largely absent input from anthropology, the discipline stakes its scholarly identity on claims to expertise over the nature of human being and the diversity of human experience. Anthropologists have long studied aspects of lived experience of central concern to human rights, including state violence, cultural difference, and structural inequality. In recent decades, they have focused increasing attention on the institutions and practices through which activists adopt and rework human rights concepts in local political and social struggles. Against this backdrop, Human Rights and the Human Experience will deploy anthropology's distinctive knowledge practices and ethical sensitivities to analyze human rights as both global force and as creative resource in local movements for dignity, security, and human flourishing.",Spring ,HMRT 26200 ,,"Lake Polan, Pozen Center for Human Rights Social Science Teaching Fellow"
ANTH 25216,"This introductory graduate course examines the social construction of gendered identities in different times and places. We study culturally-specific gendered experiences, 'roles,' rights and rebellions around the world, discussing the individual and social consequences of gender and the interrelationships between gender and other categories for identity including race, class and sexuality. While focusing on the global diversity of gendered experience and expectations, we also examine gender in the US, taking a critical approach to understanding gendered inequality and gender-based and sexual violence both abroad and at home. Finally, we examine the role of gendered expectations in Western science, the relationship between gender and 'globalization,' and the contemporary movements affecting change in gendered norms, especially in the arts and media. Advanced Undergraduates admitted with Instructor consent.",Autumn ,"MAPS 33502, GNSE 33506, GNSE 23506, ANTH 32925 ",Advanced Undergraduates admitted with Instructor consent. ,Mary Elena Wilhoit
ANTH 25222,"This course examines the role sex has played in the formation of ethnographic knowledge, with particular attention to how studies of sex have challenged static notions of identity and illuminated the complex relationship between social behavior and gendered sense of self. We will consider interest in sex as a motivating factor in the ethnographic enterprise and, reading studies on everything from desire, kink, and play to procreation, heritance and power, will examine complex and social construction of sexed, gendered, and raced selves and Others. How has ethnographic research contested the ubiquitous salience of male/female dichotomies, of patriarchy, and of the cross-cultural, trans-historical applicability of concepts like 'third gender? We will also take a methodological eye, querying how sex has moved from a supposedly 'taboo' category of social inquiry to a focal topic in ethnographic work of all kinds. This is an introductory graduate level course with select spots for advanced undergraduates.",Autumn ,"MAPS 35503, ANTH 35503, GNSE 23168, GNSE 33168 ",,"Wilhoit, Ella"
ANTH 25256,"Today, the world may seem more connected than ever. Infectious disease, data, global capital, and even  ""culture"" seem to travel in the blink of an eye. At the same time, we're witnessing the fortification of borders, and a resurgence of rightwing ethnonationalist populism on both sides of the Atlantic. Borders take on new significance national debates and security policy, and for those who rarely come into contact with borders, they may seem like mere metaphor for how a nation positions itself with regard to immigration, public health, and trade. But beyond the party platforms of politicians in the world's capitols, borders are very real places, constituted by the practices of state and non-state actors alike, and creating new forms of life in response to the technologies that police them. In this course, we will take an anthropological view of borders in order to understand how they are created, policed, and inhabited, following and bucking trends in the micropractices of military, police, and bordercrossers both legal and illegal.",Spring ,"GLST 25701, CHST 25701 ",,Callie Maidhof
ANTH 25305,"Contemporary human foodways are not only highly differentiated in cultural and social terms, but often have long and complicated histories. Anthropologists have long given attention to food. But, until quite recently, they did so in an unsystematic, haphazard fashion. This course explores several related themes with a view towards both the micro- and macro-politics of food by examining a range of ethnographic and historical case studies and theoretical texts. It takes the format of a seminar augmented by lectures (during the first few weeks), scheduled video screenings, and individual student presentations during the rest of the course.",,"AASR 35305, KNOW 25305, ANTH 35305 ",,Stephan Palmie 
ANTH 25440,"What are the cultural dimensions of economic and financial institutions and financial action?  What social variables influence and shape 'real' markets and market activities? 'If you are so smart, why aren't you rich?' is a question economists have been asked in the past.  Why isn't it easy to make money in financial areas even if one knows what economists know about markets, finance and the economy?  And why, on the hand, is it so easy to get rich for some participants? Perhaps the answer is the real markets are complex social and cultural institutions which are quite different form organizations, administrations and the production side of the economy. The course provides an overview over social and cultural variables and patterns that play a role in economic behavior and specifically in financial markets. The readings examine the historical and structural embeddedness of economic action and institutions, the different constructions and interpretations of money, prices, and other dimensions of a market economy, and how a financial economy affects organizations, the art and other areas.",Spring ,"SOCI 30258, ANTH 35405, SOCI 20258 ",,K. Knorr
ANTH 25457,"This class considers the question of capital, historically, comparatively and conceptually. What is capital? How is it related to value? How is it different from money? How does it work to organize social relations? In what forms, and through what institutional structures, does it materialize? How does it reflect in modes and relations of production? How is it governed, and what is its relation to the political? This course will enter into such questions, in the first instance, through a reading of Karl Marx. It will subsequently traverse a heterodox genealogy of Marxist social thought (with some emphasis on French theorists), in order to understand how a method of analysis developed to come to terms with nineteenth century European industrial capitalism might help us understand contemporary worlds of extraction, logistics and finance in comparative perspective. We will consider how capital is racialized and gendered, how it has expanded and mutated across place and over time, and what it means that we live in a time today when it is easier to imagine the end of the world than the end of capitalism.",Winter. Offered in alternating years. The program will next run in Winter 2022. ,"PLSC 25457, CCCT 25457 ",Admission to the Paris: Social Sciences - Critical Theory study abroad program. ,Kaushik Sunder Rajan
ANTH 25458,"This course investigates the central place of empires in the shaping of the modern world and understands critical theory as inextricable from its colonial context. We will read authors including Montaigne, Diderot, Tocqueville, Du Bois, Aimé Césaire, Suzanne Césaire, Fanon, Foucault, Said, and Trouillot, as well as contemporary theorists including Luce Irigaray, Achille Mbembe, David Scott, Françoise Vergès, and Joan Scott; we will pay particular but not exclusive attention to the context of French imperialism and to Paris as a site of theorizing, and critique of, the imperial global order.",Winter. Offered in alternating years. The program will next run in Winter 2022. ,"PLSC 25458, CCCT 25458 ",Admission to the Paris: Social Sciences - Critical Theory study abroad program.  ,Kaushik Sunder Rajan and Lisa Wedeen
ANTH 25459,"This course examines selections from the vast literature on ideology-with attention to the political commitments and intellectual genealogies that have made the concept both important and vexed. The bulk of the course will entail examining ideology's relationship to material practice, the notion of interpellation, the usefulness of ""hegemony,"" and the problems associated with false consciousness. We shall also analyze ideology's connection to prevailing theoretical and empirical concerns, such as those related to ""subject"" formation, affect, new developments in capitalism, the resurgence of populism, and the dynamics associated with contemporary ""democratic"" liberal, as well as authoritarian, political order",Winter. Offered in alternating years. The program will next run in Winter 2022. ,"PLSC 25459, CCCT 25459 ",Admission to the Paris: Social Sciences - Critical Theory study abroad program.  ,Lisa Wedeen
ANTH 25720,"This course gives students opportunities to develop their own craft of ethnography through hands-on research and writing and in-depth explorations of recent ethnographic work. Ethnography, ""the writing of a people,"" by definition, refers to groups of people as its object and to processes through which an ethnographer attempts to represent such groups. It also refers to academic texts that are the product of an ethnographer's representational efforts. In this course, students will engage with ethnography multivalently - as research practice, analytical generalization, and literary product. We will reflect upon processes of representation through which ethnographers apply their findings to groups (implicitly or explicitly) and the choices and interpretations they make along the way. Some questions we will ask are: How does the ethnographer deploy particular signifiers, such as modes of communication, spatial and architectural configurations, and historical contexts to make arguments? How is language used to represent experience convincingly? With these questions in mind, we will approach book and article-length ethnographies focusing on four expansive themes - migration, global interconnectivity, nation-states, and neoliberalism. Our readings will inform students' development of their own ethnographic practices. This course will be especially helpful to MA and advanced undergraduate students engaged in the production of ethnographic theses.",Winter ,"ANTH 35720, MAPS 34512 ",,Victoria Gross
ANTH 25777,"Societies across the world are ordered by age. In this course, we will examine how age is imagined and constructed according to biological, historical, and cultural perspectives. Drawing upon a life course model, we will study how different cultures and social groups seek to structure the individual's life in relation to the wider society by creating socially constructed stages, age cohorts, and generations. We will consider how different social factors including gender, sexuality, race, and socioeconomic status may disrupt an individual's ability to follow an idealized life course. An examination of the cultural assumptions surrounding aging in the United States will illustrate how ageism and age-stratification affect social relations across society and make certain lives more ""successful"" than others. The course will focus on older age and later life as a method for exploring how individuals make sense of their life experiences through narrative construction, the accumulation of disadvantage over the life course, and how historical and cultural shifts are disrupting established roles and relationships for the elderly across the world. The course will draw heavily on texts from gender and sexuality studies as a means for illustrating and understanding concepts. Students will have the opportunity to learn basic ethnographic and interviewing research techniques by conducting a life course narrative interview.",Spring ,"CHDV 25777, GNSE 25777, HLTH 25777 ",,G. Steffen
ANTH 25810,"This course is designed to provide an analytic framework that enables students to understand how social problems are socially constructed, how social policies are created in response to those identified problems, and how social change efforts both shape and respond to the policy environment. During the quarter, we will examine how social problems, policies and programs are framed, re-framed, and addressed and how individuals, organizations, and relevant constituencies take part in social change. In addition to providing an overview of the relationship between social problems, social policy, and social change efforts, the course encourages critical thought about the role of and relationship between professional elites (philanthropists, advocates, researchers, etc.) and ground-level activists (affected populations, community leaders, etc.) in constructing and contesting social problems and promoting social change.",TBD ,SSAD 25810 ,,J. Mosley
ANTH 25906,"Anthropological/Ethnographic Survey of Pre-Modern Central Asian Cultures. This course explores the rituals, oral literature, and music associated with the nomadic cultures of Central Eurasia.",Spring ,"NEHC 30766, NEHC 20766 ",,Kagan Arik
ANTH 25908,"Vampires, fire-breathing dragons, vengeful mountain nymphs. 7/8 and other uneven dance beats, heart-rending laments, and a living epic tradition. This course is an overview of Balkan folklore from historical, political, and anthropological perspectives. We seek to understand folk tradition as a dynamic process and consider the function of different folklore genres in the imagining and maintenance of community and the socialization of the individual. We also experience this living tradition firsthand through visits of a Chicago-based folk dance ensemble, ""Balkan Dance.""",Spring ,"CMLT 23301, NEHC 20568, REES 39009, CMLT 33301, REES 29009, ANTH 35908, NEHC 30568 ",,Angelina Ilieva
ANTH 25945,"In this course, we will consider settler colonialism as a contemporary, ongoing process as it unfolds in both North America and the Middle East, thinking through the problems of state formation, citizenship, land expropriation, and the law in these two contexts. While US and the state of Israel share a (tentative) commitment to liberal democracy, this has hinged on the erasure of indigenous populations even as the states expanded to envelop greater swaths of territory.  In the process, settler and indigenous peoples have been moved, as well as transformed, producing new subjectivities in relation to both the state and international law. Over the quarter, we will examine the transformations of space and subjects effected by the settler colonial project, drawing on historical, anthropological, and theoretical literature.",Not offered 2022-2023 ,"CRES 25945, RLST 26945, GLST 25945 ",,Callie Maidhof
ANTH 26043,"With the emergence of generative AI tools such as ChatGPT, DALL-E, and Midjourney, the production of computer-generated content has become accessible to a wide range of users and use cases. Knowledge institutions are particularly challenged to find adequate responses to changing notions of authorship as the mainstreaming of 'artificial' texts, audio-visual artifacts, and code is transforming our paradigms of communication in real-time. This course offers a survey of scholarship from the nascent field of critical AI studies to investigate the impact of AI, machine learning, and big data on knowledge production, representation, and consumption. In addition to theoretical discussions, we will conduct research-creation experiments aimed at documenting and evaluating emerging methods of AI-augmented content creation across text, image, and sound. Prospective students should demonstrate a substantial interest in media art and design and its connections to digital humanities, critical theory, and pedagogy. Experience with artistic and/or engineering practice is a plus. Please submit a 300 word max statement of interest to uhl@uchicago.edu by12/22 in order to be considered for enrollment.",Winter ,"MACS 36043, KNOW 26043, CMST 26043, KNOW 36043, HIPS 26043, MAAD 12043, CMST 36043, ANTH 36043, CHSS 36043 ",,Andre Uhl
ANTH 26200,"This course introduces the theoretical foundations and analytical techniques that allow archaeologists to use ceramics to make inferences about ancient societies. Ethnographic, experimental, and physical science approaches are explored to develop a realistic, integrated understanding of the nature of ceramics as a form of material culture. Practical training in the use of the ceramic labs is included.",Autumn ,"NEAA 10020, NEAA 40020, ANTH 36200 ",,James Osborne
ANTH 26330,"What do we know about the ancient Maya? Pyramids, palaces, and temples are found from Mexico to Honduras, texts in hieroglyphic script record the histories of kings and queens who ruled those cities, and painted murals, carved stone stelae, and ceramic vessels provide a glimpse of complex geopolitical dynamics and social hierarchies. Decades of archaeological research have expanded that view beyond the rulers and elites to explore the daily lives of the Maya people, networks of trade and market exchange, and agricultural and ritual practices. Present-day Maya communities attest to the dynamism and vitality of languages and traditions, often entangled in the politics of archaeological heritage and tourism. This course is a wide-ranging exploration of ancient Maya civilization and of the various ways archaeologists, anthropologists, linguists, historians, and indigenous communities have examined and manipulated the Maya past. From tropes of long-hidden mysteries rescued from the jungle to New Age appropriations of pre-Columbian rituals, from the thrill of decipherment to painstaking and technical artifact studies, we will examine how models drawn from astrology, ethnography, classical archaeology and philology, political science, and popular culture have shaped current understandings of the ancient Maya world, and also how the Maya world has, at times, resisted easy appropriation and defied expectations.",TBD ,"ANTH 36330, LACS 26330, CEGU 26330, LACS 36330 ",,Sarah Newman
ANTH 26368,"The course considers changes wrought in the natural landscape of the greater Calumet region beginning with indigenous Potawatomi and their forced removal.  Students will examine how the Calumet's natural environment became collateral damage of the industrial capitalism that transformed the region into an economic powerhouse and explore efforts to rehabilitate the Calumet's rich biodiversity, identifying the challenges and achievements of this most recent environmental transition.",Spring ,"CHST 26368, ENST 26368, HIST 27315, CEGU 26368, PBPL 26368 ",,Mary Beth Pudup
ANTH 26455,"This graduate-level reading colloquium explores classic and emerging scholarship that examines the rise and consolidation of European overseas empires and colonies in the early modern Atlantic world (c.1400-1850). While we will analyze transatlantic European imperial structures, the course will pay particular attention to the perspectives of the colonized peoples (such as enslaved and freed people of African descent, creole populations, and Indigenous peoples) and places (such as the Caribbean, West Africa, Latin America, and North America) in the Atlantic World. Among the thematic topics we will discuss include: colonization; the rise of slavery and the slave trade; cross-cultural and political connections; the consolidation of race; gender, sexuality, and the family; the environment; the plantation complex; work and economy; social life; anti-colonial and anti-slavery struggles, revolution; abolition; and the reconstitution of colonial and imperial structures after slave emancipation. Upper-level undergraduates may enroll with instructor consent.",Spring ,"MAPS 33555, HIST 39107, HIST 29107, ANTH 46455 ",,"Lyons, Deirdre"
ANTH 26612,"This course entails four weeks of full-time, hands-on training in field archaeology in an excavation directed by a University of Chicago faculty member. At the Tell Keisan site in Israel, students will learn techniques of excavation and digital recording of the finds; attend evening lectures; and participate in weekend field trips. Academic requirements include the completion of assigned readings and a final written examination. For more information about this archaeological field opportunity in Summer 2020, see http://keisan.uchicago.edu. Students who are enrolled in this course will pay a Summer Session tuition fee in addition to the cost of participation in the dig. UChicago College students are eligible to apply for College Research Scholar grants to fund their participation.",,"NEAA 20091, CLCV 20091, HIST 20091, CLAS 30091 ",,David Schloen 
ANTH 26701,"What can historical ethnography teach us, about the origins of capitalism, sovereignty and corporations, and the past and future of planning?  This course will examine transformative events: the advent and the abolition of British empire slavery.  Whaling and its consequences.  The ""7 Years War"" in India and America.  The Mongol conquests.  Also, twentieth century (c20) stock market crashes.  The late c20 rise of global cities.  China's c21 ""Belt and Road Project.""  Cognizance of global warming.   We will use transformative events to track the emergent assemblage of state and capitalist institutions, including money, markets and taxation, banks and stock markets, accounting and budgets.  Like Weber, we will seek causal patterns in between determinism and serendipity.  Following Veblen, we will focus on corporations and ""New Deals.""",,ANTH 63701 ,,John Kelly 
ANTH 26710,"This is a two-course sequence that introduces students to theory and method in landscape studies and the use of Geographical Information Systems (GIS) to analyze archaeological, anthropological, historical, and environmental data. Course one covers the theoretical and methodological background necessary to understand spatial approaches to landscape and the fundamentals of using ESRI's ArcGIS software, and further guides students in developing a research proposal. Course two covers more advanced GIS-based analysis (using vector, raster, and satellite remote sensing data) and guides students in carrying out their own spatial research project. In both courses, techniques are introduced through the discussion of case studies (focused on the archaeology of the Middle East) and through demonstration of software skills. During supervised laboratory times, the various techniques and analyses covered will be applied to sample archaeological data and also to data from a region/topic chosen by the student.",Autumn ,"NEAA 20061, CEGU 30061, GISC 20061, ANTH 36710, NEAA 30061, GISC 30061, CEGU 20061 ",,Mehrnoush Soroush
ANTH 26711,"This is a two-course sequence that introduces students to theory and method in landscape studies and the use of Geographical Information Systems (GIS) to analyze archaeological, anthropological, historical, and environmental data. Course one covers the theoretical and methodological background necessary to understand spatial approaches to landscape and the fundamentals of using ESRI's ArcGIS software, and further guides students in developing a research proposal. Course two covers more advanced GIS-based analysis (using vector, raster, and satellite remote sensing data) and guides students in carrying out their own spatial research project. In both courses, techniques are introduced through the discussion of case studies (focused on the archaeology of the Middle East) and through demonstration of software skills. During supervised laboratory times, the various techniques and analyses covered will be applied to sample archaeological data and also to data from a region/topic chosen by the student.",Winter ,"NEAA 30062, GISC 20062, GISC 30062, CEGU 30062, ANTH 36711, CEGU 20062, NEAA 20062 ",NEAA 20061 ,Mehrnoush Soroush
ANTH 26765,"Anyang is one of the most important archaeological sites in China. The discoveries of inscribed oracle bones, the royal cemetery, clusters of palatial structures, and industrial-scale craft production precincts have all established that the site was indeed the last capital of the Shang dynasty recorded in traditional historiography. With almost continuous excavations since the late 1920s, work at Anyang has in many ways shaped and defined Chinese archaeology and the study of Early Bronze Age China. This course intends to examine the history of research, important archaeological finds, and the role of Anyang studies in the field of Chinese archaeology. While the emphasis is on archaeological finds and the related research, this course will also attempt to define Anyang in the modern social and cultural contexts in terms of world heritage, national and local identity, and the looting and illegal trade of antiquities.",Winter ,"EALC 28010, ANTH 36765, EALC 48010 ",,Y. Li
ANTH 26900,"This course focuses on the methodological basis of archaeological data analysis. Its goals are twofold: (1) to provide students with an opportunity to examine research questions through the study of archaeological data; and (2) to allow students to evaluate evidential claims in light of analytical results. We consider data collection, sampling and statistical populations, exploratory data analysis, and statistical inference. Built around computer applications, the course also introduces computer analysis, data encoding, and database structure.",,ANTH 46900 ,Advanced standing and consent of instructor for undergraduates ,Alice Yao 
ANTH 26910,"How do we use language when we interact with others (and ourselves)? What lies beyond semantic meaning, or the presupposed function of language to deliver ""information""? In this introductory course to the field of linguistic anthropology, we explore how power, inequality, and difference are enacted through various communicative features of human interaction-features that include, but are not limited to, what we refer to as ""language."" We ask how the things that we say (and how we say them) signal and shape our identities (such as race, gender, sexuality, ethnicity, religion, and class). Furthermore, we investigate how language enacts forms of human relationality-forms that, among others, encompass solidarity, conflict, and hierarchy in face-to-face interactions as well as in mass-mediated productions. Through this course, student will engage with and analyze linguistic features of human interaction in their cultural and political contexts.",,"CHDV 26910, LING 26910 ",,Fadi Hakim 
ANTH 27001,TBD,,"LING 30100, SOSC 21700, ANTH 37001, LING 20100 ",,
